SHARK_ID,DATE_CAP,DAYS_CAP,DATE_START,PAT_END,SPOT_END,DEPLOY_DAYS,PAT_MODEL,PAT_ID,PAT_PTT,PAT_DEPLOY_ID,PAT_MANUFACTURER_ID,SPOT_MODEL,SPOT_ID,SPOT_PTT,SPOT_DEPLOY_ID,SPOT_MANUFACTURER_ID,ACOUSTIC_ID,PAT_RECOVERY,PAT_DATA_TRANS,SPOT_DATA_TRANS,DATA_BINNED,DATA_TS,TBL_cm,SEX,INTERACTION,CAPTURE_GEAR,TARGET FISHERY,LOCATION_REL,LAT_REL,LON_REL,DIST_KM,LAT_END_PAT,LON_END_PAT,DIST_PAT,LAT_END_SPOT,LON_END_SPOT,DIST_SPOT,COMMENTS
17_01,22/04/2017,0,22/04/2017,30/04/2017,ND,8,MiniPAT,16P1193,162933,17_01-162933,5905dbaaefec720c48b5c05a,ND,ND,ND,ND,ND,A69-1303-57523,NO,YES,ND,YES,YES,427,F,other,other,NA,"Dana Point, California, USA",33.319,-117.866,23,33.142,-117.729,23.413,ND,ND,ND,"Very large shark tagged at a whale carcass, without photogrammetry estimated at 14 ft"
17_19,17/06/2017,0,17/06/2017,24/12/2017,ND,190,MiniPAT,14P0425,138389,17_19-138389,5f0665436321be13bc7ef3d5,ND,ND,ND,ND,ND,A69-9001-22251,NO,YES,ND,YES,YES,149,M,"fishery, commercial","gillnet, set",white sea bass,"Oxnard State Beach, California, USA",34.19,-119.313,86,33.743,-118.548,86.35,ND,ND,ND,
17_21,27/07/2017,0,27/07/2017,31/07/2017,ND,4,MiniPAT,14P0146,138387,17_21-138387,5f06654c6321be13bc7ef4e9,ND,ND,ND,ND,ND,A69-9001-22252,NO,YES,ND,YES,YES,147,F,"fishery, commercial","gillnet, general",white sea bass,"Harbor Cove Beach, California, USA",34.246,-119.286,13,34.142,-119.229,12.738,ND,ND,ND,
18_02,4/02/2018,0,4/02/2018,29/07/2018,ND,174,MiniPAT,16P1304,162934,18_02-162934,5b5cf5fbefec7209080ba2eb,ND,ND,ND,ND,ND,ND,NO,YES,ND,NO,YES,243,U,research,NC,NA,"Toro Canyon, California, USA",34.414,-119.567,336,36.825,-121.8,335.577,ND,ND,ND,
18_16,20/11/2018,0,20/11/2018,DNT,ND,DNT,MiniPAT,17P1269,174678,18_16-174678,DNT,ND,ND,ND,ND,ND,ND,NO,NO,ND,NO,YES,304,F,research,NC,NA,"Diablo Canyon, California, USA",35.211,-120.859,DNT,DNT,DNT,DNT,ND,ND,ND,"PAT tag never transmitted, tag not recovered"
19_11,4/10/2019,0,4/10/2019,DNT,ND,DNT,MiniPAT,16P1716,167804,19_11-167804,DNT,ND,ND,ND,ND,ND,ND,NO,NO,ND,NO,YES,396,F,research,NC,NA,"Santa Rosa Island, California, USA",33.899,-120.11,DNT,DNT,DNT,DNT,ND,ND,ND,"PAT tag never transmitted, tag not recovered"
19_13,7/10/2019,0,7/10/2019,9/02/2020,ND,125,MiniPAT,17P1249,174676,19_13-174676,5e3f5dec6321be14906083a7,ND,ND,ND,ND,ND,A69-9001-8565,NO,YES,ND,NO,YES,290,U,research,NC,NA,"Diablo Canyon, California, USA",35.209,-120.862,299,33.006,-122.724,298.978,ND,ND,ND,
19_15,7/10/2019,0,7/10/2019,4/04/2020,ND,180,MiniPAT,17P1254,174677,19_15-174677,5e89ff256321be090c31e6a1,ND,ND,ND,ND,ND,ND,NO,YES,ND,NO,YES,274,M,research,NC,NA,"Diablo Canyon, California, USA",35.21,-120.861,1886,22.853,-134.21,1886.225,ND,ND,ND,
19_19,14/10/2019,0,14/10/2019,11/04/2020,ND,180,MiniPAT,18P0522,177538,19_19-177538,5e92a7d46321be090c3327a0,ND,ND,ND,ND,ND,ND,NO,YES,ND,YES,YES,256,F,research,NC,NA,"Santa Claus Beach, California, USA",34.406,-119.551,878,27.825,-114.441,878.333,ND,ND,ND,
19_20,25/10/2019,0,25/10/2019,DNT,ND,DNT,MiniPAT,17P1246,174675,19_20-174675,DNT,ND,ND,ND,ND,ND,A69-9001-8563,NO,NO,ND,NO,YES,295,U,research,NC,NA,"Santa Claus Beach, California, USA",34.404,-119.548,DNT,DNT,DNT,DNT,ND,ND,ND,"PAT tag never transmitted, tag not recovered"
19_22,5/11/2019,0,5/11/2019,7/02/2020,ND,94,MiniPAT,17P0647,174673,19_22-174673,5e3cc0066321be1490602e5b,ND,ND,ND,ND,ND,ND,NO,YES,ND,NO,YES,180,U,research,NC,NA,"Santa Claus Beach, California, USA",34.408,-119.553,631,28.78,-118.73,630.613,ND,ND,ND,
20_03,15/01/2020,0,15/01/2020,10/02/2020,ND,26,MiniPAT,17P0654,174674,20_03-174674,5e4492d76321be1490613bce,ND,ND,ND,ND,ND,A69-9001-8575,YES,YES,ND,YES,YES,259,F,research,NC,NA,"Diablo Canyon, California, USA",35.201,-120.862,1,35.206,-120.854,0.892,ND,ND,ND,
